candidate_id,formula,elements,n_atoms,volume_per_atom_a3,role_in_E4,pss,screened_by_pss,spacegroup_generated,spacegroup_number_generated,site_fraction_generated,law7_generated,spacegroup_dft_relaxed,spacegroup_number_dft_relaxed,site_fraction_dft_relaxed,law7_dft_relaxed,proxy_bulk_modulus_gpa,dft_bulk_modulus_gpa,dft_bulk_modulus_pressure_derivative,dft_equilibrium_volume_a3,birch_murnaghan_rms_ev,relaxation_converged
candidate_0460,Re3Ir8,Ir Re,11,14.597099486735015,control,-0.5566021394639371,False,P1,1,1.0,False,P-1,2,0.5454545454545454,True,366.3557230042426,357.4473480159139,5.0985131945126305,160.6132632943189,9.018249921968231e-05,True
candidate_0473,B4OsW2,B Os W,14,10.077357247013042,control,0.392303338279108,False,Cm,8,1.0,False,P1,1,1.0,False,319.97868424326595,311.94690270995187,4.500817315244584,141.06897679099322,5.668093389235123e-05,True
candidate_0477,Ir5Os10Ru3,Ir Os Ru,18,14.284384787701176,priority,-0.48450397793244293,False,Pm,6,1.0,False,Pm,6,1.0,False,403.1658725607475,372.3222008239284,5.000490793326402,257.17214364768824,8.332937354706038e-06,True
candidate_0479,Re3Os13,Os Re,16,14.461253132440644,control,-0.5287126331426486,False,P1,1,1.0,False,Cm,8,0.75,False,394.4014253859223,395.40766251669163,4.868499252023875,231.3932372317944,3.0142554655050096e-05,True
candidate_0482,B6IrOs5,B Ir Os,12,10.342225756993992,control,0.3657254723053539,False,P1,1,1.0,False,Pm,6,1.0,False,375.5055930922535,300.23779894266613,6.245357717874589,124.14942824294593,0.00023332129064563658,True
candidate_0484,Re8Ir4W,Ir Re W,13,14.964184822253792,screened,-0.6497395950235363,True,Cm,8,1.0,False,Imm2,44,1.0,False,344.06021127312863,358.666302722871,4.84009277022395,194.62147768205008,5.656702377407703e-05,True
candidate_0486,Ir6Os5,Ir Os,11,15.261947998060567,screened,-0.7085437544786457,True,Imm2,44,1.0,False,Imm2,44,1.0,False,347.3150100564409,323.5128029920358,5.412164789028232,167.9547590850463,0.00014760004144427814,True
candidate_0489,ReIr2Os13,Ir Os Re,16,14.449982700088693,priority,-0.5077194878597371,False,P1,1,1.0,False,Pm,6,0.75,False,432.4214897942888,380.6681890036491,5.532172763451308,231.2048440615977,0.000550425681430255,True
candidate_0492,MoOs4,Mo Os,10,14.935166377669878,priority,1.3140687730688385,False,C2/m,12,0.4,True,C2/m,12,0.4,True,410.26928409603397,299.1620878180798,6.045587452448134,150.0001362951091,0.007115901212228078,True
candidate_0493,IrOs3,Ir Os,12,14.419318883958013,priority,-0.49644311424115384,False,Imm2,44,1.0,False,Imm2,44,1.0,False,406.16752197663027,381.6221954238069,5.147467637549426,173.06161908729382,0.00015358823169005762,True
candidate_0494,Re11Os5,Os Re,16,14.8030948995739,control,-0.610075009053409,False,Pm,6,1.0,False,Pm,6,1.0,False,348.7961978314971,379.3243568592069,4.728219623160433,236.8017222313152,0.0001356344335681793,True
candidate_0502,Os5Ru,Os Ru,12,14.250690260668451,priority,1.087439420028757,False,P2_1/m,11,0.5,True,P2_1/m,11,0.5,True,408.4764717306419,385.4952687566203,4.943571063243098,171.0812656738022,8.972416020439389e-06,True
candidate_0508,Re2Os7,Os Re,9,14.549007236282144,control,1.196646887197623,False,Immm,71,0.4444444444444444,True,Immm,71,0.4444444444444444,True,392.9266232005005,387.57296633757716,4.879455435701402,130.9875181917458,7.79857983035447e-05,True
candidate_0515,Re5Ir6,Ir Re,11,15.475248425694078,screened,-0.6999761799169648,True,Imm2,44,1.0,False,Imm2,44,1.0,False,360.08247137496323,326.391901066184,5.048101976195858,170.33607094916326,6.58039498482711e-05,True
candidate_0516,Re3Ir9Os7,Ir Os Re,19,15.049843774214573,screened,-0.6495381340556532,True,Pm,6,1.0,False,Pm,6,1.0,False,358.0824341006568,335.7414086816298,5.515764692833815,286.02878717769676,0.000300334514580161,True
candidate_0517,ReIr2Os,Ir Os Re,4,14.546663676019913,control,0.23712988946405536,False,I4/mmm,139,0.75,False,I4/mmm,139,0.75,False,376.1281850022172,370.97729220199955,4.945492794776836,58.195840345807134,9.148417688747148e-06,True
candidate_0522,Ir3Os8,Ir Os,11,14.428723555600662,control,-0.5107567635256135,False,P1,1,1.0,False,P1,1,1.0,False,394.82666540818906,380.8804950911627,5.078882881829407,158.6829708229255,9.372939984331676e-05,True
candidate_0523,Re2Mo3Os5,Mo Os Re,10,14.908031447987629,control,-0.634448657945506,False,P1,1,1.0,False,P1,1,1.0,False,326.5121025405314,339.98563846571886,4.7814288295729,149.1034861426585,2.6340845690690062e-05,True
candidate_0539,Ir3Os13,Ir Os,16,14.41328818858031,priority,0.2674498932903233,False,Cm,8,0.75,False,Cm,8,0.75,False,413.5321388859416,382.2300416854832,5.347323194814571,230.66058766067363,0.00020302670490817743,True
candidate_0542,IrOs3,Ir Os,16,14.386025904171044,priority,-0.5088345908035797,False,P1,1,1.0,False,Aem2,39,0.4375,True,409.69230699016623,387.04070665035664,5.063653509762614,230.23915776511933,1.4210854715202004e-14,True
candidate_0543,Re7W3,Re W,10,15.463394852864905,screened,-0.7256820093166555,True,Amm2,38,1.0,False,Amm2,38,1.0,False,361.85897013711514,339.9573592398358,4.485621517217309,154.72494568461875,8.642046953851553e-06,True
candidate_0549,Re5Ir4W,Ir Re W,10,14.886370353562743,control,-0.6104570860347079,False,P4mm,99,1.0,False,P4/mmm,123,0.6,True,356.8466678745009,356.80004255115585,4.698996714706902,148.92302770966387,4.718421317743606e-05,True
candidate_0550,Ir9OsW5,Ir Os W,15,15.59831100291553,screened,-0.7670457971995124,True,Pmm2,25,1.0,False,Pmm2,25,1.0,False,318.48596366545456,306.90848237462944,5.126145777287916,234.03608889550736,0.00013802647106037164,True
candidate_0554,Re2(Os3W)3,Os Re W,14,15.57223609958275,screened,-0.7233104254658657,True,P1,1,1.0,False,Cm,8,1.0,False,351.39116953153643,311.43844925806513,4.6573629051722865,218.23632867430265,0.0005604951120281882,True
candidate_0560,IrOs15,Ir Os,16,14.401396555778062,priority,0.29859220925786734,False,Cm,8,0.75,False,P-3m1,164,0.375,True,453.68529843986425,393.0198674945052,4.956398079276248,230.5424401851966,7.063324977407629e-05,True
candidate_0563,IrOs,Ir Os,4,14.433371921601914,priority,1.039409273159444,False,P-6m2,187,0.5,True,P-6m2,187,0.5,True,404.5366638626629,374.5212168200512,5.083969239988349,57.755894878953306,5.86655333512488e-05,True
candidate_0565,IrOs2,Ir Os,12,14.422631310784771,priority,-0.4960590165144736,False,Cm,8,1.0,False,I4_1/amd,141,0.3333333333333333,True,406.77699087819866,378.1949457644703,5.0910737612100325,173.1612247760281,4.014291470097229e-05,True
candidate_0568,Ir5Os11,Ir Os,16,14.420726305322532,priority,0.6791160859857076,False,P-1,2,0.625,True,P-1,2,0.625,True,424.9168593128116,381.21187802171465,5.06631261330861,230.83741365968828,4.117140327066486e-05,True
candidate_0574,Os5Ru,Os Ru,6,14.2616046198341,priority,-0.47798311346107314,False,Cm,8,1.0,False,Cm,8,1.0,False,410.1146795396092,385.14794607136196,4.932443461925757,85.57371258701006,2.0446044558381602e-05,True
candidate_0583,IrOs2,Ir Os,6,14.405786369246227,priority,1.0640351549372196,False,C2/m,12,0.5,True,C2/m,12,0.5,True,416.22683375317837,381.86814768750787,5.030376889983787,86.46291014229064,4.9942776609863356e-05,True
candidate_0591,Ir3Os13,Ir Os,16,14.410663842410328,priority,0.8637378873472993,False,Amm2,38,0.5625,True,Amm2,38,0.5625,True,424.63709174538695,385.6434405284419,5.1617197476654235,230.5590011804612,0.000255594209759937,True
