parent_task,candidate_id,task,status,volume_a3,static_energy_ev
E4-candidate_0175,candidate_0175,E4-candidate_0175-v1,complete,225.54500143692317,-183.81810224
E4-candidate_0175,candidate_0175,E4-candidate_0175-v2,complete,232.520620038065,-184.10126115
E4-candidate_0175,candidate_0175,E4-candidate_0175-v3,complete,239.49623863920672,-183.87030138
E4-candidate_0175,candidate_0175,E4-candidate_0175-v4,complete,246.4718572403486,-183.21114148
E4-candidate_0177,candidate_0177,E4-candidate_0177-v0,complete,54.137541298386736,-42.2592386
E4-candidate_0177,candidate_0177,E4-candidate_0177-v1,complete,55.86533516961187,-42.47833725
E4-candidate_0177,candidate_0177,E4-candidate_0177-v2,complete,57.59312904083699,-42.54754954
E4-candidate_0177,candidate_0177,E4-candidate_0177-v3,complete,59.32092291206206,-42.49143279
E4-candidate_0177,candidate_0177,E4-candidate_0177-v4,complete,61.048716783287176,-42.33112101
E4-candidate_0184,candidate_0184,E4-candidate_0184-v0,complete,137.93275715955795,-102.93513171
E4-candidate_0184,candidate_0184,E4-candidate_0184-v1,complete,142.3348664306076,-103.45493891
E4-candidate_0184,candidate_0184,E4-candidate_0184-v2,complete,146.73697570165731,-103.61949861
E4-candidate_0184,candidate_0184,E4-candidate_0184-v3,complete,151.13908497270702,-103.4862964
E4-candidate_0184,candidate_0184,E4-candidate_0184-v4,complete,155.54119424375685,-103.10485515
E4-candidate_0194,candidate_0194,E4-candidate_0194-v0,complete,161.9902697123274,-131.52265536
E4-candidate_0194,candidate_0194,E4-candidate_0194-v1,complete,167.16017193718898,-132.19263628
E4-candidate_0194,candidate_0194,E4-candidate_0194-v2,complete,172.33007416205044,-132.40200592
E4-candidate_0194,candidate_0194,E4-candidate_0194-v3,complete,177.49997638691212,-132.22642499
E4-candidate_0194,candidate_0194,E4-candidate_0194-v4,complete,182.6698786117736,-131.7286863
E4-candidate_0195,candidate_0195,E4-candidate_0195-v0,complete,144.11559803736677,-116.85921092
E4-candidate_0195,candidate_0195,E4-candidate_0195-v1,complete,148.71503201728277,-117.36342779
E4-candidate_0195,candidate_0195,E4-candidate_0195-v2,complete,153.31446599719874,-117.52071605
E4-candidate_0195,candidate_0195,E4-candidate_0195-v3,complete,157.91389997711474,-117.38489083
