parent_task,candidate_id,formula,role,n_points,refit_b0_gpa,refit_v0_a3,refit_bp,refit_e0_ev,refit_rms_ev,optimizer_nfev,published_b0_gpa,signed_error_gpa,absolute_error_gpa,relative_error,published_v0_a3,published_bp,published_rms_ev,uma_bulk_modulus_gpa,pss
E4-candidate_0169,candidate_0169,Ir2Os7W2,screened,5,322.19774614112714,171.40415369285626,5.774169792686112,-118.94527691825215,0.00037083868328354223,5,322.1977461259657,1.5161447208811296e-08,1.5161447208811296e-08,4.7056341613525164e-11,171.4041536379052,5.774170417426947,0.00037083868328434145,352.4408266680575,-0.7550068438507661
E4-candidate_0170,candidate_0170,Re3Os5,control,5,390.0268721084979,116.63804868740333,4.795492873536813,-93.99726937462582,1.850644368569447e-05,5,390.0268722208724,-1.1237449371037656e-07,1.1237449371037656e-07,2.881198751011669e-10,116.63804869544394,4.795492737592602,1.8506443687175195e-05,378.4165325092762,-0.5575996299238907
E4-candidate_0171,candidate_0171,Os7Ru,priority,5,388.98631392883294,114.27777703038785,4.94087416748568,-87.88773414336947,4.0943307463852546e-06,6,388.98631393191175,-3.0788100957579445e-09,3.0788100957579445e-09,7.914957378929429e-12,114.2777770304844,4.94087416560446,4.0943307445465315e-06,403.93705109325873,-0.4920583533078182
E4-candidate_0174,candidate_0174,Re3Os7,priority,5,392.21598045454624,145.35864555798065,4.838155552951549,-116.48560677679333,4.6416657247776085e-05,5,392.21598039567004,5.887619636268937e-08,5.887619636268937e-08,1.501116713890512e-10,145.35864555084692,4.838155649524689,4.64166572473516e-05,401.2548755245299,-0.579382244012365
E4-candidate_0175,candidate_0175,ReOs3,priority,5,390.6358644021254,232.66785165748658,4.983102110696846,-184.1011059766874,0.0001681269722674264,5,390.6358642883454,1.137800040851289e-07,1.137800040851289e-07,2.9126870952417956e-10,232.66785163802672,4.98310227637813,0.00016812697226706883,425.05968758442566,-0.5421327907928251
E4-candidate_0177,candidate_0177,IrOs3,priority,5,384.4020854257097,57.63159289542247,5.049207868585741,-42.54751914258658,3.8286936250413825e-05,5,384.40208537588205,4.982763357475051e-08,4.982763357475051e-08,1.2962373376832042e-10,57.63159288960863,5.049208066482842,3.828693625071785e-05,410.245189696083,0.2774832195556294
E4-candidate_0184,candidate_0184,Re2Ir3,control,5,358.4743349033279,146.83866944917673,4.963230788760861,-103.61943717669996,8.774187560561373e-05,6,358.47433487287617,3.045170160476118e-08,3.045170160476118e-08,8.494806640916178e-11,146.8386694493633,4.963230787522425,8.774187560806056e-05,362.5671900006495,-0.5733519806387108
E4-candidate_0194,candidate_0194,IrOs11,priority,5,395.89377475893514,172.40335233830115,4.957533870347971,-132.402082684677,2.3916790268973605e-05,5,395.893774710813,4.8122160478669684e-08,4.8122160478669684e-08,1.2155321339372233e-10,172.40335233127647,4.957533950890074,2.3916790264938584e-05,420.6494234495126,-0.4980439587356279
E4-candidate_0195,candidate_0195,Os3W2,screened,5,338.6286198615748,153.35280923277327,4.680721888256236,-117.52060153989962,7.793507472212449e-05,5,338.6286197772536,8.432118647760944e-08,8.432118647760944e-08,2.4900785566522714e-10,153.35280921758147,4.680722082904774,7.793507472123914e-05,361.20727157302986,-0.680927298282217
E4-candidate_0196,candidate_0196,ReOs3,priority,5,386.57787939993364,174.82767425791644,4.831878076580322,-137.15916841127148,4.2899015177496674e-05,5,386.5778794809795,-8.104586868284969e-08,8.104586868284969e-08,2.0964952467446426e-10,174.8276742667077,4.8318779778034475,4.289901517800211e-05,400.07355179728836,-0.5408507351627317
E4-candidate_0200,candidate_0200,IrOs9,priority,5,383.26354412289635,143.93211651442135,6.929592683922925,-108.8187789238145,0.005151292501054501,9,383.26355396971076,-9.84681440741042e-06,9.84681440741042e-06,2.5692018730767738e-08,143.93211620594033,6.929596683501198,0.005151292501071338,401.7583712603996,-0.5067053216946878
E4-candidate_0215,candidate_0215,Ir2Os3,control,5,375.00373455475676,144.33869274996223,5.121795010078927,-102.30203942655173,4.530713521504003e-05,7,375.00373455795847,-3.2017055673350114e-09,3.2017055673350114e-09,8.53779648650452e-12,144.33869273792018,5.121795171525042,4.530713521520182e-05,388.75674279619716,-0.5154527832958283
E4-candidate_0221,candidate_0221,Os,priority,5,396.1451192614318,43.181609566281104,5.015783721286915,-33.55395933619962,2.8688061146387152e-05,8,396.145119242511,1.8920786715170834e-08,1.8920786715170834e-08,4.7762261343394116e-11,43.18160956498402,5.015783779814894,2.8688061147955904e-05,414.0698257580022,0.5198304068447207
E4-candidate_0224,candidate_0224,Re4W,screened,5,343.04320593956055,153.18274068349993,4.665393704905591,-124.00019380801254,3.348804634267181e-05,5,343.0432058755217,6.403882935046568e-08,6.403882935046568e-08,1.866786114799286e-10,153.18274067793308,4.665393777388682,3.3488046342049015e-05,335.1077241834852,-0.6907373548811707
E4-candidate_0227,candidate_0227,Re4Ir7,screened,5,307.91896837296446,170.51803309268354,5.519417843545499,-110.74374078636605,8.381061414415389e-05,8,307.91896833803906,3.4925392355944496e-08,3.4925392355944496e-08,1.1342397171713944e-10,170.51803308721804,5.519417906821689,8.381061414438308e-05,332.1701290862767,-0.7559238748567393
E4-candidate_0230,candidate_0230,ReOs7,priority,5,373.64934837472003,231.61521728326514,7.502541716758598,-180.98040649390867,0.004445998758622418,5,373.64934908751593,-7.127958951969049e-07,7.127958951969049e-07,1.907659940898102e-09,231.6152168587794,7.502545294681429,0.004445998758648298,436.4006058734574,1.0476329787482714
